representation,metric,silhouette(repr),spearman(densmap),trustworthiness(densmap),silhouette(densmap),spearman(nj),trustworthiness(nj),silhouette(nj)
beginning_of_sequence,cosine,0.360051735228797,0.36404399914943625,0.9562450718643224,0.4327692489377671,0.9417448048350896,0.9657859625845614,0.3190663962164403
beginning_of_sequence,euclidean,0.23141320311122748,0.4130771768575504,0.9594467135838215,0.3579787808585344,0.9168840584082358,0.9727775849794534,0.23824632812580993
beginning_of_sequence,manhattan,0.23139363511178132,0.3551414887729791,0.9585189961148297,0.42585632133351264,0.9196952742429091,0.9707211051614283,0.21561817869817232
beginning_of_sequence,ts_ss,0.411114801466697,0.3558758912396285,0.9560797130519386,0.41466109062833334,0.9368724088229179,0.9642785269513011,0.34902457331539105
end_of_sequence,cosine,0.44371255229960443,0.35825023839863324,0.9619552837533564,0.4609662517326306,0.9177457154322566,0.9696340433858379,0.4572718248071109
end_of_sequence,euclidean,0.281604883443168,0.389582984377461,0.9639071512674268,0.3921171271923876,0.888927748724201,0.9745322168004794,0.301941299581426
end_of_sequence,manhattan,0.2906931474175195,0.37243554117271527,0.9607781647778111,0.44055136035077,0.8813269962774343,0.9729886941325088,0.32165210239979447
end_of_sequence,ts_ss,0.5325922681316412,0.43299070582489313,0.9700143205382742,0.48090606131198455,0.9083932605297032,0.9649234423582798,0.4853846232475737
mean_of_special_tokens,cosine,0.39796383698041304,0.4074498997510708,0.9658419375850676,0.4827466233514133,0.8990513728370356,0.9593583805421917,0.4063767301363434
mean_of_special_tokens,euclidean,0.24598241140536206,0.3914432482477622,0.9666649625566942,0.4545632616674652,0.8920084886761109,0.9629093447576866,0.2677354629820062
mean_of_special_tokens,manhattan,0.25044450393885115,0.37334479758991795,0.9625275439304515,0.3713922784362201,0.8945211107646271,0.9635557036460536,0.25371400235436137
mean_of_special_tokens,ts_ss,0.4857855369598741,0.38179555289070316,0.9620297433349753,0.3950471719927801,0.8837191231454165,0.9515096910729297,0.48604013526120093
mean_of_residue_tokens,cosine,0.37775899243263095,0.40146161665032093,0.9741920764499821,0.4758802890326593,0.8716971094280508,0.9572697431665691,0.34079962656397383
mean_of_residue_tokens,euclidean,0.23456895607010517,0.364716123644485,0.9644783689301858,0.39008640793312105,0.8829389815122161,0.9634997687422525,0.23991059945018295
mean_of_residue_tokens,manhattan,0.2410899372423808,0.3532279596914645,0.9661985977781212,0.36564975471628497,0.8718910765555773,0.9634776353609635,0.2449768173350947
mean_of_residue_tokens,ts_ss,0.4977481743946053,0.43639806946599363,0.9731544940086501,0.45454914681999076,0.8594596287716346,0.9493860492736381,0.36400957667984396
