accession,label
GCA_000006785.2&&1284183_1025_2_2_8091,Cas1
GCA_000007185.1&&1324335_305_2_1_2837,Cas2
GCA_000007305.1&&1066279_968_2_2_5113,Cas1
GCA_000007685.1&&1134467_284_2_6_6368,Cas2
GCA_000007705.1&&1291807_1040_1_6_734,Cas1
GCA_000007705.1&&1292860_290_1_7_734,Cas2
GCA_000008265.1&&524_263_2_1_8149,Cas2
GCA_000008265.1&&792_956_2_2_8149,Cas1
GCA_000008645.1&&999392_263_2_6_3109,Cas2
GCA_000008645.1&&999658_974_2_7_3109,Cas1
GCA_000009705.1&&1729649_2006_1_1_11341,Cas1
GCA_000009705.1&&1834184_1001_1_6_10002,Cas1
GCA_000009705.1&&1836368_188_1_7_10002,Cas2
GCA_000009965.1&&382856_980_2_9_6772,Cas1
GCA_000010025.1&&861337_290_2_1_10568,Cas2
GCA_000010505.1&&2147268_770_2_2_1370,Cas1
GCA_000011125.1&&784237_278_2_7_6313,Cas2
GCA_000011185.1&&110910_968_2_2_794,Cas1
GCA_000011285.1&&1148741_869_2_3_11556,Cas1
GCA_000011765.2&&1240514_1025_2_2_8764,Cas1
GCA_000011825.1&&862566_623_1_1_6103,Cas1
GCA_000011845.1&&868468_623_1_1_5764,Cas1
GCA_000012025.1&&2774241_920_1_7_1914,Cas1
GCA_000012285.1&&1669823_917_2_3_9291,Cas1
GCA_000012545.1&&488784_1016_1_7_3125,Cas1
GCA_000012925.1&&1193442_1034_1_6_6587,Cas1
GCA_000013085.1&&1364648_374_2_4_9635,Cas2
GCA_000013205.1&&892609_278_2_10_8969,Cas2
GCA_000013405.1&&608903_275_1_9_5879,Cas2
GCA_000013405.1&&609195_278_1_10_5879,Cas2
GCA_000013445.1&&2098032_269_2_1_7032,Cas2
GCA_000013445.1&&2098306_1043_2_2_7032,Cas1
GCA_000013445.1&&845232_287_2_1_10566,Cas2
GCA_000013445.1&&845516_995_2_2_10566,Cas1
GCA_000013525.1&&1258552_293_2_1_8012,Cas2
GCA_000013805.1&&2330216_980_2_6_6267,Cas1
GCA_000014645.1&&1471519_272_2_1_10831,Cas2
GCA_000014645.1&&1471772_1004_2_2_10831,Cas1
GCA_000014645.1&&814922_956_1_2_7707,Cas1
GCA_000014645.1&&816036_293_1_3_7707,Cas2
GCA_000014725.1&&563223_1028_1_6_3807,Cas1
GCA_000015085.1&&672834_968_1_6_7880,Cas1
GCA_000015145.1&&630016_287_2_6_1417,Cas2
GCA_000015805.1&&1183435_884_1_5_6503,Cas1
GCA_000015805.1&&1184310_275_1_6_6503,Cas2
GCA_000015865.1&&2741525_992_2_2_1190,Cas1
GCA_000016505.1&&2826093_1004_2_2_4507,Cas1
GCA_000016605.1&&1093126_908_1_9_10164,Cas1
GCA_000016605.1&&1094398_260_1_10_10164,Cas2
GCA_000016665.1&&2314536_1013_1_5_1020,Cas1
GCA_000016905.1&&1640173_260_1_1_5053,Cas2
GCA_000016905.1&&1640446_986_1_2_5053,Cas1
GCA_000016905.1&&360707_260_2_1_2733,Cas2
