accession,label
GCA_000006785.2&&1284183_1025_2_2_8091,TypeI
GCA_000007185.1&&1324335_305_2_1_2837,TypeIII
GCA_000007305.1&&1066279_968_2_2_5113,TypeI
GCA_000007685.1&&1134467_284_2_6_6368,TypeI
GCA_000007705.1&&1291807_1040_1_6_734,TypeI
GCA_000007705.1&&1292860_290_1_7_734,TypeI
GCA_000008265.1&&524_263_2_1_8149,TypeI
GCA_000008265.1&&792_956_2_2_8149,TypeI
GCA_000008645.1&&999392_263_2_6_3109,TypeIII
GCA_000008645.1&&999658_974_2_7_3109,TypeIII
GCA_000009705.1&&1729649_2006_1_1_11341,TypeIII
GCA_000009705.1&&1834184_1001_1_6_10002,TypeI
GCA_000009705.1&&1836368_188_1_7_10002,TypeI
GCA_000009965.1&&382856_980_2_9_6772,TypeI
GCA_000010025.1&&861337_290_2_1_10568,TypeI
GCA_000010505.1&&2147268_770_2_2_1370,TypeIII
GCA_000011125.1&&784237_278_2_7_6313,TypeI
GCA_000011185.1&&110910_968_2_2_794,TypeIII
GCA_000011285.1&&1148741_869_2_3_11556,TypeII
GCA_000011765.2&&1240514_1025_2_2_8764,TypeI
GCA_000011825.1&&862566_623_1_1_6103,TypeIII
GCA_000011845.1&&868468_623_1_1_5764,TypeIII
GCA_000012025.1&&2774241_920_1_7_1914,TypeI
GCA_000012285.1&&1669823_917_2_3_9291,TypeI
GCA_000012545.1&&488784_1016_1_7_3125,TypeI
GCA_000012925.1&&1193442_1034_1_6_6587,TypeI
GCA_000013085.1&&1364648_374_2_4_9635,TypeIII
GCA_000013205.1&&892609_278_2_10_8969,TypeIII
GCA_000013405.1&&608903_275_1_9_5879,TypeIII
GCA_000013405.1&&609195_278_1_10_5879,TypeIII
GCA_000013445.1&&2098032_269_2_1_7032,TypeI
GCA_000013445.1&&2098306_1043_2_2_7032,TypeI
GCA_000013445.1&&845232_287_2_1_10566,TypeIII
GCA_000013445.1&&845516_995_2_2_10566,TypeIII
GCA_000013525.1&&1258552_293_2_1_8012,TypeI
GCA_000013805.1&&2330216_980_2_6_6267,TypeI
GCA_000014645.1&&1471519_272_2_1_10831,TypeV
GCA_000014645.1&&1471772_1004_2_2_10831,TypeV
GCA_000014645.1&&814922_956_1_2_7707,TypeII
GCA_000014645.1&&816036_293_1_3_7707,TypeII
GCA_000014725.1&&563223_1028_1_6_3807,TypeI
GCA_000015085.1&&672834_968_1_6_7880,TypeI
GCA_000015145.1&&630016_287_2_6_1417,TypeI
GCA_000015805.1&&1183435_884_1_5_6503,TypeI
GCA_000015805.1&&1184310_275_1_6_6503,TypeI
GCA_000015865.1&&2741525_992_2_2_1190,TypeI
GCA_000016505.1&&2826093_1004_2_2_4507,TypeI
GCA_000016605.1&&1093126_908_1_9_10164,TypeI
GCA_000016605.1&&1094398_260_1_10_10164,TypeI
GCA_000016665.1&&2314536_1013_1_5_1020,TypeI
GCA_000016905.1&&1640173_260_1_1_5053,TypeIII
GCA_000016905.1&&1640446_986_1_2_5053,TypeIII
GCA_000016905.1&&360707_260_2_1_2733,TypeI
GCA_000017185.1&&1120337_293_1_6_1736,TypeI
GCA_000017245.1&&436081_326_1_3_3748,TypeII
GCA_000017465.2&&879070_998_2_1_10020,TypeI
GCA_000017545.1&&1032977_263_1_8_3659,TypeI
GCA_000017845.1&&1201313_1676_1_6_7662,TypeI
GCA_000017845.1&&345718_992_2_2_4551,TypeIII
GCA_000018145.1&&395098_911_1_2_7147,TypeII
GCA_000018145.1&&396006_344_1_3_7147,TypeII
GCA_000018425.1&&1914303_995_2_2_971,TypeI
GCA_000018565.1&&2840994_1052_1_7_2164,TypeI
GCA_000018565.1&&2842050_284_1_8_2164,TypeI
GCA_000018565.1&&3175004_1019_1_7_8129,TypeIII
GCA_000018945.1&&713060_284_1_7_4790,TypeI
GCA_000019165.1&&273469_1052_2_4_10437,TypeI
GCA_000019785.1&&1237367_1031_2_2_3911,TypeI
GCA_000020365.1&&621923_296_1_2_8195,TypeI
GCA_000020765.1&&580938_293_1_7_4501,TypeI
GCA_000021285.1&&1963694_260_2_1_3476,TypeI
GCA_000021545.1&&788988_266_2_8_5332,TypeIII
GCA_000021645.1&&620788_995_2_7_3779,TypeIII
GCA_000021805.1&&514905_293_2_1_9430,TypeI
GCA_000021805.1&&515195_977_2_2_9430,TypeI
GCA_000021825.1&&1893173_977_1_7_11369,TypeI
GCA_000021825.1&&1894147_293_1_8_11369,TypeI
GCA_000021945.1&&4193268_1019_1_6_10143,TypeIII
GCA_000021985.1&&1919329_284_1_8_9513,TypeIII
GCA_000022405.1&&852434_914_2_3_3899,TypeI
GCA_000022425.1&&944019_266_1_3_10684,TypeI
GCA_000022465.1&&702303_284_2_2_1708,TypeI
GCA_000022465.1&&704620_872_2_3_1708,TypeI
GCA_000022485.1&&1890963_872_2_10_2393,TypeI
GCA_000022825.1&&2840583_980_1_1_416,TypeI
GCA_000023325.1&&702543_269_2_1_3757,TypeIII
GCA_000023325.1&&711369_944_2_8_3757,TypeIII
GCA_000023465.1&&4766924_896_1_2_4802,TypeII
GCA_000023965.1&&2720110_992_1_7_8219,TypeI
GCA_000024185.1&&1032857_266_1_7_9079,TypeI
GCA_000024185.1&&1555431_278_2_2_3455,TypeIII
GCA_000024425.1&&197591_971_1_7_4786,TypeIII
GCA_000024725.1&&3002284_968_1_5_11492,TypeI
GCA_000024725.1&&3003259_302_1_6_11492,TypeI
GCA_000024805.1&&6640324_1784_1_4_3518,TypeI
GCA_000025185.1&&1405107_2828_1_1_10184,TypeIII
GCA_000025245.2&&1515027_293_2_4_7334,TypeI
GCA_000026045.1&&1577537_995_1_7_10381,TypeI
GCA_000026045.1&&1578535_272_1_8_10381,TypeI
GCA_000048645.1&&187946_992_1_2_5761,TypeII
GCA_000048645.1&&188945_299_1_3_5761,TypeII
GCA_000056065.1&&763169_872_1_7_3007,TypeI
GCA_000091645.1&&742158_344_1_3_3259,TypeII
GCA_000091665.1&&351301_344_2_9_10526,TypeI
GCA_000092245.1&&2824443_1004_1_6_10135,TypeI
GCA_000092405.1&&1397190_1010_2_3_8005,TypeI
GCA_000092565.1&&3160952_1652_1_1_1805,TypeI
GCA_000092565.1&&3162604_284_1_2_1805,TypeI
GCA_000092765.1&&1515456_1607_2_5_7821,TypeI
GCA_000143965.1&&1902918_1967_1_4_9271,TypeIII
GCA_000143965.1&&1904897_287_1_5_9271,TypeIII
GCA_000143985.1&&1127824_293_1_7_6760,TypeI
GCA_000144645.1&&72005_992_1_6_1461,TypeI
GCA_000144695.1&&890424_995_1_6_4164,TypeI
GCA_000144695.1&&891420_272_1_7_4164,TypeI
GCA_000145215.1&&2468573_263_1_3_3888,TypeI
GCA_000145615.1&&2638304_992_2_2_6189,TypeI
GCA_000145985.1&&867168_977_2_8_5322,TypeI
GCA_000148385.1&&1613792_275_2_6_2471,TypeI
GCA_000148385.1&&1614068_995_2_7_2471,TypeI
GCA_000148705.1&&1431986_431_2_1_8307,TypeII
GCA_000151105.2&&396573_968_1_6_6664,TypeI
GCA_000151105.2&&397538_257_2_7_6664,TypeI
GCA_000151205.2&&467247_980_2_3_10264,TypeI
GCA_000158275.2&&173971_998_1_6_10240,TypeI
GCA_000165775.3&&580322_290_1_7_9646,TypeI
GCA_000166055.1&&2046849_293_2_1_3932,TypeIII
GCA_000166055.1&&2047139_1100_2_2_3932,TypeIII
GCA_000168595.2&&542393_998_1_7_3121,TypeI
GCA_000168635.2&&2734169_341_2_2_6969,TypeII
GCA_000176855.2&&4426262_290_1_7_8483,TypeI
GCA_000177215.2&&1496123_290_2_1_6070,TypeI
GCA_000178115.2&&693760_290_2_1_10373,TypeI
GCA_000179575.2&&106199_263_2_2_3926,TypeI
GCA_000179575.2&&106472_965_2_3_3926,TypeI
GCA_000184345.2&&810403_272_2_5_10827,TypeI
GCA_000184345.2&&810678_1043_2_6_10827,TypeI
GCA_000189555.1&&733830_878_1_2_7055,TypeI
GCA_000189555.1&&734819_269_1_3_7055,TypeI
GCA_000189575.1&&750771_914_1_5_5736,TypeI
GCA_000189775.3&&2386381_263_2_1_10153,TypeI
GCA_000190315.1&&1380815_995_2_7_9531,TypeI
GCA_000190635.1&&893323_1031_1_6_11102,TypeI
GCA_000192865.1&&698322_278_2_1_6061,TypeIII
GCA_000192865.1&&698597_2873_2_2_6061,TypeIII
GCA_000193435.3&&1699999_284_2_1_3568,TypeI
GCA_000193435.3&&1700386_986_2_2_3568,TypeI
GCA_000195295.1&&101390_296_2_7_4254,TypeI
GCA_000195295.1&&101771_1013_2_8_4254,TypeI
GCA_000195295.1&&3067565_2642_2_1_3460,TypeIII
GCA_000195315.1&&2041137_308_1_3_10774,TypeII
